episode,timesteps,avg_reward,ep_length,epsilon
202,93480,-2.25,17,0.01
203,93524,1.0,11,0.01
204,93544,0.0,5,0.01
205,95168,-20.75,406,0.01
206,95236,0.25,17,0.01
207,95288,-1.0,13,0.01
208,95324,-0.5,9,0.01
209,96936,-16.0,403,0.01
210,97008,-0.25,18,0.01
211,97048,-0.25,10,0.01
212,97100,-0.75,13,0.01
213,98700,-34.25,400,0.01
214,98768,-1.75,17,0.01
215,98808,0.0,10,0.01
216,98868,-0.75,15,0.01
