episode,timesteps,avg_reward,ep_length,epsilon
172,79424,0.75,5,0.01
173,79444,0.25,5,0.01
174,81060,-1.25,404,0.01
175,81160,-0.5,25,0.01
176,81184,0.0,6,0.01
177,81216,-0.25,8,0.01
178,82828,0.25,403,0.01
179,82932,-1.75,26,0.01
180,82956,-0.25,6,0.01
181,82964,0.0,2,0.01
182,84588,7.5,406,0.01
183,84704,-3.5,29,0.01
184,84724,-0.25,5,0.01
185,86352,-0.25,407,0.01
186,86456,1.0,26,0.01
187,86488,0.0,8,0.01
188,86496,0.25,2,0.01
189,88124,-9.25,407,0.01
190,88216,0.0,23,0.01
191,88240,0.5,6,0.01
192,88276,0.5,9,0.01
193,89880,0.25,401,0.01
194,89968,0.75,22,0.01
195,90004,-1.5,9,0.01
196,90032,0.5,7,0.01
197,91652,2.5,405,0.01
198,91724,-0.5,18,0.01
199,91760,0.25,9,0.01
200,91784,0.25,6,0.01
201,93412,-0.25,407,0.01
202,93480,-1.5,17,0.01
203,93524,-0.5,11,0.01
204,93544,-0.25,5,0.01
205,95168,0.5,406,0.01
206,95236,0.75,17,0.01
207,95288,0.75,13,0.01
208,95324,0.25,9,0.01
209,96936,-2.5,403,0.01
210,97008,1.25,18,0.01
211,97048,1.0,10,0.01
212,97100,0.5,13,0.01
213,98700,-2.0,400,0.01
214,98768,-0.25,17,0.01
215,98808,2.75,10,0.01
216,98868,-0.75,15,0.01
