episode,timesteps,avg_reward,ep_length,epsilon
103,47636,-0.75,19,0.01
104,47648,-0.25,3,0.01
105,47660,0.25,3,0.01
106,49320,-8.5,415,0.01
107,49396,-2.0,19,0.01
108,49428,0.0,8,0.01
109,49436,0.5,2,0.01
110,51068,1.75,408,0.01
111,51172,-0.5,26,0.01
112,51184,-0.25,3,0.01
113,51208,0.0,6,0.01
114,52820,-3.0,403,0.01
115,52924,-1.25,26,0.01
116,52956,-0.5,8,0.01
117,52968,0.25,3,0.01
118,54588,-2.0,405,0.01
119,54676,0.75,22,0.01
120,54736,2.25,15,0.01
121,54744,0.0,2,0.01
122,56344,-4.25,400,0.01
123,56452,-0.5,27,0.01
124,56484,0.75,8,0.01
125,56512,1.0,7,0.01
126,58120,-2.0,402,0.01
127,58228,-2.0,27,0.01
128,58256,0.0,7,0.01
129,58288,0.0,8,0.01
130,59884,5.75,399,0.01
131,60008,-0.25,31,0.01
132,60028,1.0,5,0.01
133,60040,0.75,3,0.01
134,61652,0.25,403,0.01
135,61784,-1.25,33,0.01
136,61792,-0.25,2,0.01
137,61804,0.25,3,0.01
138,63404,1.0,400,0.01
139,63536,0.5,33,0.01
140,63556,0.5,5,0.01
141,63580,0.0,6,0.01
142,65164,-3.0,396,0.01
143,65304,0.75,35,0.01
144,65328,-0.5,6,0.01
145,65332,0.0,1,0.01
146,66924,1.0,398,0.01
147,67076,-1.25,38,0.01
148,67084,0.0,2,0.01
149,67088,0.0,1,0.01
150,68672,-0.25,396,0.01
151,68828,1.75,39,0.01
152,68840,0.0,3,0.01
153,70448,3.0,402,0.01
154,70588,-1.25,35,0.01
155,70608,0.5,5,0.01
156,72220,-5.5,403,0.01
157,72364,0.0,36,0.01
158,72380,0.0,4,0.01
159,73980,2.25,400,0.01
160,74124,2.0,36,0.01
161,74136,0.25,3,0.01
162,74144,0.25,2,0.01
163,75756,-5.5,403,0.01
164,75876,0.75,30,0.01
165,75892,-0.25,4,0.01
166,75916,0.0,6,0.01
167,77520,0.0,401,0.01
168,77636,-0.75,29,0.01
169,77672,0.25,9,0.01
170,79280,7.75,402,0.01
171,79404,1.75,31,0.01
172,79424,1.0,5,0.01
173,79444,0.5,5,0.01
174,81060,6.5,404,0.01
175,81160,0.75,25,0.01
176,81184,-0.5,6,0.01
177,81216,0.5,8,0.01
178,82828,9.0,403,0.01
179,82932,-0.5,26,0.01
180,82956,0.0,6,0.01
181,82964,0.0,2,0.01
182,84588,10.25,406,0.01
183,84704,0.25,29,0.01
184,84724,-0.25,5,0.01
185,86352,-1.25,407,0.01
186,86456,0.75,26,0.01
187,86488,-0.25,8,0.01
188,86496,0.0,2,0.01
189,88124,3.0,407,0.01
190,88216,-3.0,23,0.01
191,88240,0.5,6,0.01
192,88276,-1.25,9,0.01
193,89880,4.5,401,0.01
194,89968,1.5,22,0.01
195,90004,0.75,9,0.01
196,90032,0.25,7,0.01
197,91652,3.75,405,0.01
198,91724,-0.75,18,0.01
199,91760,-0.25,9,0.01
200,91784,0.5,6,0.01
201,93412,2.0,407,0.01
202,93480,1.25,17,0.01
203,93524,-0.5,11,0.01
204,93544,0.0,5,0.01
205,95168,5.5,406,0.01
206,95236,-0.25,17,0.01
207,95288,-0.75,13,0.01
208,95324,1.0,9,0.01
209,96936,3.5,403,0.01
210,97008,1.0,18,0.01
211,97048,0.75,10,0.01
212,97100,0.75,13,0.01
213,98700,1.75,400,0.01
214,98768,2.0,17,0.01
215,98808,1.0,10,0.01
216,98868,1.75,15,0.01
